firm_id,t,y_1,y_2,tratado,control,cohort
0,0,7.367,46.123,True,False,0
0,1,9.411,46.683,True,False,0
0,2,7.898,53.131,True,False,0
0,3,9.999,47.314,True,False,0
0,4,8.462,50.54,True,False,0
0,5,9.611,48.084,True,False,0
0,6,8.724,51.812,True,False,0
0,7,9.164,49.705,True,False,0
0,8,10.979,52.908,True,False,0
0,9,11.027,55.325,True,False,0
0,10,11.362,54.947,True,False,0
0,11,11.582,58.283,True,False,0
0,12,11.524,57.161,True,False,0
0,13,11.573,56.658,True,False,0
0,14,11.285,57.49,True,False,0
0,15,11.698,61.244,True,False,0
0,16,12.633,58.029,True,False,0
0,17,11.565,55.233,True,False,0
0,18,12.642,58.183,True,False,0
0,19,12.386,54.368,True,False,0
1,7,12.0,55.001,False,False,-1
1,8,12.787,56.249,False,False,-1
1,9,12.609,56.137,False,False,-1
1,10,12.729,56.849,False,False,-1
1,11,13.691,51.611,False,False,-1
1,12,12.936,57.297,False,False,-1
1,13,13.303,56.4,False,False,-1
1,14,12.377,58.0,False,False,-1
1,15,14.219,54.476,False,False,-1
1,16,13.887,57.087,False,False,-1
1,17,13.524,55.838,False,False,-1
1,18,13.488,60.744,False,False,-1
1,19,14.046,61.809,False,False,-1
2,6,13.827,56.469,True,False,1
2,7,13.469,55.198,True,False,1
2,8,13.188,54.596,True,False,1
2,9,15.75,58.834,True,False,1
2,10,15.746,61.01,True,False,1
2,11,16.04,63.093,True,False,1
2,12,16.465,63.252,True,False,1
2,13,14.869,61.857,True,False,1
2,14,15.169,61.154,True,False,1
2,15,16.61,63.666,True,False,1
2,16,15.605,60.563,True,False,1
2,17,16.071,60.358,True,False,1
2,18,15.819,63.615,True,False,1
2,19,16.832,64.408,True,False,1
3,4,5.853,54.671,True,False,1
3,5,6.726,49.917,True,False,1
3,6,5.722,55.425,True,False,1
3,7,5.327,57.396,True,False,1
3,8,6.402,56.337,True,False,1
3,9,8.032,61.471,True,False,1
3,10,8.952,60.509,True,False,1
3,11,8.635,60.784,True,False,1
3,12,8.186,60.149,True,False,1
3,13,8.641,61.41,True,False,1
3,14,9.317,58.727,True,False,1
3,15,8.855,64.007,True,False,1
3,16,8.646,59.599,True,False,1
3,17,9.219,63.132,True,False,1
3,18,9.223,64.302,True,False,1
3,19,9.746,63.527,True,False,1
4,4,11.406,70.069,False,False,-1
4,5,12.41,73.361,False,False,-1
4,6,11.762,77.096,False,False,-1
4,7,11.007,72.173,False,False,-1
4,8,11.108,73.288,False,False,-1
4,9,12.228,76.125,False,False,-1
4,10,12.246,72.451,False,False,-1
4,11,11.053,75.585,False,False,-1
4,12,12.072,76.595,False,False,-1
4,13,12.759,76.153,False,False,-1
4,14,12.888,76.535,False,False,-1
4,15,12.873,74.867,False,False,-1
4,16,12.618,76.87,False,False,-1
4,17,13.218,75.889,False,False,-1
4,18,13.169,76.345,False,False,-1
4,19,12.949,78.736,False,False,-1
5,8,6.073,33.968,False,True,0
5,9,6.575,40.334,False,True,0
5,10,6.871,39.431,False,True,0
5,11,7.658,41.891,False,True,0
5,12,7.179,42.142,False,True,0
5,13,7.36,37.96,False,True,0
5,14,7.117,36.874,False,True,0
5,15,7.07,39.319,False,True,0
